회사명,상장일,시장,산업분류,AI분류,구태그,평가방법,적용멀티플,분류근거,주요제품
엔비티,2021-01-21,코스닥,기타,비AI,,PER,27.9,"[에이전트 판정(투설 원문 스니펫)|low] 포인트 광고 플랫폼이 본업이고 AI 타게팅·인식 기반 광고상품은 기존 상품과 병행 운용되는 부가 기능. 다만 타게팅이 광고사업 핵심에 근접해 low. | 근거: ""'AI 기반의 이미지 인식 및 음성인식 기술'을 활용하는 광고상품을 개발하여, 기존 광고상품들과 함께 운용중"" / ""AI 타게팅 시스템을 접목하여 이용자 취향 예측 시스템을 구축""",모바일 포인트 광고 플랫폼
선진뷰티사이언스,2021-01-27,코스닥,화학/소재,비AI,,PER,25.83,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,화장품 원료
모비릭스,2021-01-28,코스닥,엔터/미디어/게임,비AI,,PER,17.77,[에이전트 판정(투설 원문 스니펫)|high] 게임 내 AI는 향후 연구개발 계획(기대효과 서술)에 그침. 제품(모바일 게임)은 AI 없이 성립. | 근거: 인공지능 처리 연구 개발 각 상황에 맞게 처리하는 전략 시뮬레이션 인공지능 연구 개발 기대효과: 유저 이탈율 감소,모바일 게임 개발 및 퍼블리싱
씨앤투스성진,2021-01-28,코스닥,소비재/유통,비AI,,PER,10.19,"[에이전트 판정(투설 원문 스니펫)|high] 'AI'는 마스크 제품명일 뿐 인공지능과 무관. 전 스니펫이 마스크 제품 설명. | 근거: ""AI 마스크는 산업용 인증과 보건용 인증을 동시에 받은 크로스 오버 제품""","에어필터, 산업용 및 보건용 마스크"
핑거,2021-01-29,코스닥,IT/소프트웨어,AI관련,,PER,37.08,"[에이전트 판정(투설 원문 스니펫)|high] 자체 AI(로보어드바이저)가 서비스 핵심 기능이며 '금융업무 AI 서비스'가 독립 매출원으로 존재. 단 전체 주력은 핀테크 플랫폼이라 pure는 아님. | 근거: ""자체 개발한 AI(로보어드바이저)를 통한 신용 컨설팅, 금융상품 추천"" / ""금융업무 AI 서비스 520 950 1,050"" (매출 세그먼트)","스마트 금융 플랫폼, 핀테크 금융 솔루션"
솔루엠,2021-02-02,유가증권,IT/소프트웨어,비AI,,PER,23.39,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 전방 IT인프라·시장 동향 설명에 그침. ESL/파워모듈 제품 자체는 AI 무관. | 근거: ""유통시장의 경우 클라우드, AI, 5G, 빅데이터 등 다양한 IT인프라의 개발 및 보급에 따라 급격하게 변화하고 있는 추세"" / ""인공 지능(AI), 5G 등 IT 인프라의 발달로 ESL 사용 환경이 용이해지고""","POWER, 3in1 Board, ESL 등"
레인보우로보틱스,2021-02-03,코스닥,기계/장비,비AI,Y,PER,25.18,"[에이전트 판정(투설 원문 스니펫)|low] 스니펫상 AI는 산업동향(일본정책, 구글/보스턴다이내믹스)과 향후 로드맵(음성인식 2024~)에 그침. 로봇 자체는 AI 없이 성립 | 근거: ""인공지능 - 음성 인식 기술명 2024년 2025년 2026년 2027년 이족보행 알고리즘 통합 보행"" / ""일본에서는 AI, 로봇, 데이터 등을 활용해""","협동로봇, 천문마운트시스템, 이족보행로봇 등"
와이더플래닛,2021-02-03,코스닥,IT/소프트웨어,AI관련,Y,PER,24.78,"[에이전트 판정(투설 원문 스니펫)|high] 광고 수익 창출 메커니즘 자체가 자체 AI 알고리즘(클릭확률 예측)으로 구동. AI가 핵심 가치제안이나 매출은 광고서비스이므로 pure 아닌 ai. | 근거: ""빅데이터/AI 기반 알고리즘을 통해 클릭 확률 및 수익의 기대값을 정확히 예측하여"" / ""빅데이터/AI 플랫폼의 기술 및 운용 역량을 근간으로""",빅데이터/인공지능 마케팅플랫폼 및 데이터플랫폼
아이퀘스트,2021-02-05,코스닥,IT/소프트웨어,비AI,,PER,35.1,"[에이전트 판정(투설 원문 스니펫)|low] 주력은 패키지 ERP(얼마에요)로 AI 없이 성립. AI 자동분개는 특허 보유한 부가 기능이며 다수 스니펫이 신기술 R&D 계획·경쟁사 나열. | 근거: ""AI 자동회계처리 자동분개 서비스"" / ""AI 기반의 자동분개 특허를 적용한 자동전표 프로세스를 업무처리에 제공""","패키지 ERP, 구축형 ERP 등"
피엔에이치테크,2021-02-16,코스닥,화학/소재,비AI,,PER,29.03,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,OLED 소재
오로스테크놀로지,2021-02-24,코스닥,반도체/디스플레이,비AI,,PER,21.16,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급 전부 4차산업혁명 시장 전망·용어 해설. 계측장비 자체는 비AI. | 근거: 사물인터넷(IoT), 로봇 공학, 3D 프린팅, 빅데이터, 인공지능(AI) 등이 4차 산업혁명에서 변화를 이끄는 5대 주요 기술",반도체 Overlay 계측 장비
